Real,Imaginary
432,0
110.972,21.8851
100.487,56.8977
98.2005,59.4197
83.3204,101.639
62.2301,74.6124
51.8801,94.6793
-4.95356,117.897
8.68393,162.545
-22.5425,106.707
-59.1307,93.9894
-75.6403,99.0942
-97.7993,102.873
-112.621,58.1646
-110.189,44.7314
-112.357,7.19873
-167.343,9.34315
-94.0666,-23.351
-99.6589,-46.5108
-92.1423,-55.745
-114.023,-86.253
-91.4264,-66.3121
-29.1734,-99.3427
-24.7221,-95.8039
5.76857,-151.784
27.6428,-118.096
58.6548,-95.5033
92.5688,-90.1029
85.0055,-99.5654
95.2205,-61.4777
85.7369,-66.2095
97.5685,-54.1334
138,-8
95.8654,60.2243
84.5607,54.2673
98.0792,67.1193
81.884,83.8729
92.0866,96.4091
55.1713,84.02
31.5472,123.071
-0.354361,137.002
-23.9648,102.083
-34.8302,88.7597
-86.6263,70.4303
-122.912,72.9495
-90.1745,61.7556
-107.272,37.2347
-88.5553,26.4536
-178.657,-20.6569
-109.255,-1.68748
-119.465,-52.3442
-106.611,-56.1968
-111.103,-111.762
-71.5221,-94.2941
-69.7138,-99.6461
-16.2635,-105.95
-6.09814,-168.668
0.0219261,-113.993
40.3968,-98.1627
68.5363,-75.0946
67.6278,-104.76
103.842,-56.561
88.5447,-58.0739
117.063,-23.5883
416,0
117.063,23.5883
88.5447,58.0739
103.842,56.561
67.6278,104.76
68.5363,75.0946
40.3968,98.1627
0.0219261,113.993
-6.09814,168.668
-16.2635,105.95
-69.7138,99.6461
-71.5221,94.2941
-111.103,111.762
-106.611,56.1968
-119.465,52.3442
-109.255,1.68748
-178.657,20.6569
-88.5553,-26.4536
-107.272,-37.2347
-90.1745,-61.7556
-122.912,-72.9495
-86.6263,-70.4303
-34.8302,-88.7597
-23.9648,-102.083
-0.354361,-137.002
31.5472,-123.071
55.1713,-84.02
92.0866,-96.4091
81.884,-83.8729
98.0792,-67.1193
84.5607,-54.2673
95.8654,-60.2243
138,8
97.5685,54.1334
85.7369,66.2095
95.2205,61.4777
85.0055,99.5654
92.5688,90.1029
58.6548,95.5033
27.6428,118.096
5.76857,151.784
-24.7221,95.8039
-29.1734,99.3427
-91.4264,66.3121
-114.023,86.253
-92.1423,55.745
-99.6589,46.5108
-94.0666,23.351
-167.343,-9.34315
-112.357,-7.19873
-110.189,-44.7314
-112.621,-58.1646
-97.7993,-102.873
-75.6403,-99.0942
-59.1307,-93.9894
-22.5425,-106.707
8.68393,-162.545
-4.95356,-117.897
51.8801,-94.6793
62.2301,-74.6124
83.3204,-101.639
98.2005,-59.4197
100.487,-56.8977
110.972,-21.8851
